antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'oksigen'}),frozenset({'Isi'}),0.2516509013028735,0.4872389791183295,0.22077458504372657,0.877304964539007,1.8005639986491047,0.09816045679870701,4.179150517012455,0.5941324234234946
frozenset({'Isi'}),frozenset({'oksigen'}),0.4872389791183295,0.2516509013028735,0.22077458504372657,0.4531135531135531,1.8005639986491049,0.09816045679870701,1.368381138274049,0.8671065963852115
frozenset({'Isi'}),frozenset({'6m3'}),0.4872389791183295,0.12975191861502766,0.09994645725504195,0.20512820512820515,1.5809261806510777,0.036726264890411295,1.094828231419804,0.716628959276018
frozenset({'6m3'}),frozenset({'Isi'}),0.12975191861502766,0.4872389791183295,0.09994645725504195,0.7702888583218708,1.5809261806510777,0.036726264890411295,2.2321991747363747,0.42224671862182117
frozenset({'Isi'}),frozenset({'tabung'}),0.4872389791183295,0.3026949848295556,0.2673567731572372,0.5487179487179488,1.8127751572327047,0.11987197776464631,1.5451645222526895,0.8744026726434644
frozenset({'tabung'}),frozenset({'Isi'}),0.3026949848295556,0.4872389791183295,0.2673567731572372,0.8832547169811321,1.8127751572327044,0.11987197776464631,4.392134805127846,0.6429892189671546
frozenset({'Isi'}),frozenset({'O26m3'}),0.4872389791183295,0.23772978761377833,0.23772978761377833,0.4879120879120879,2.052380952380952,0.1218985685908237,1.4885534190374716,1.0
frozenset({'O26m3'}),frozenset({'Isi'}),0.23772978761377833,0.4872389791183295,0.23772978761377833,1.0,2.052380952380952,0.1218985685908237,inf,0.6726761882463124
frozenset({'Isi'}),frozenset({'part'}),0.4872389791183295,0.23772978761377833,0.23772978761377833,0.4879120879120879,2.052380952380952,0.1218985685908237,1.4885534190374716,1.0
frozenset({'part'}),frozenset({'Isi'}),0.23772978761377833,0.4872389791183295,0.23772978761377833,1.0,2.052380952380952,0.1218985685908237,inf,0.6726761882463124
frozenset({'2'}),frozenset({'Isi'}),0.2379082634303052,0.4872389791183295,0.23772978761377833,0.9992498124531133,2.0508412817490087,0.12181160821618184,683.5104408352721,0.6723537354684895
frozenset({'Isi'}),frozenset({'2'}),0.4872389791183295,0.2379082634303052,0.23772978761377833,0.4879120879120879,2.0508412817490087,0.12181160821618184,1.4882048933013357,0.9992866169336758
frozenset({'1m3'}),frozenset({'Isi'}),0.15384615384615385,0.4872389791183295,0.1368909512761021,0.8897911832946636,1.8261904761904761,0.06193110833482063,4.652631578947368,0.534668721109399
frozenset({'Isi'}),frozenset({'1m3'}),0.4872389791183295,0.15384615384615385,0.1368909512761021,0.28095238095238095,1.8261904761904761,0.06193110833482063,1.1767702496179318,0.8823057454854372
frozenset({'argon'}),frozenset({'Isi'}),0.02641442084597537,0.4872389791183295,0.021238622166696412,0.8040540540540541,1.6502252252252252,0.008368486719701453,2.6168493479478356,0.40471235240200576
"frozenset({'1,5'})",frozenset({'Isi'}),0.007852935927181866,0.4872389791183295,0.007852935927181866,1.0,2.052380952380952,0.004026679442940122,inf,0.5168195718654435
frozenset({'m'}),frozenset({'Isi'}),0.008031411743708727,0.4872389791183295,0.007852935927181866,0.9777777777777777,2.0067724867724865,0.003939719068298263,23.07424593967514,0.5057492884948803
