Kode Transaksi,Timestamp,Kode Barang,Nama Barang,Jumlah,Harga Jual,Total
48522020230102085555,2023-01-02 8:55:55,btraiqltbntdnger,Batrai alat bantu dengar,1,"39.500,00","39.500,00"
48522020230102093055,2023-01-02 9:30:55,026m3,Isi oksigen 6m3,2,"125.000,00","250.000,00"
48522020230102093215,2023-01-02 9:32:15,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230102093230,2023-01-02 9:32:30,026m3,Isi oksigen 6m3,1,"125.000,00","125.000,00"
48522020230102093340,2023-01-02 9:33:40,Btgkca10cm,Batang pengaduk spatula kaca 10 cm,2,"3.000,00","6.000,00"
48522020230102093436,2023-01-02 9:34:36,alkswonemed,Alkohol swabs onemed,1,"10.000,00","10.000,00"
48522020230102093537,2023-01-02 9:35:37,Undrpdnmed,Underpad onemed 45x60,1,"25.000,00","25.000,00"
48522020230102093537,2023-01-02 9:35:37,mic1,"Micropour 1/2""",1,"6.000,00","6.000,00"
48522020230102093537,2023-01-02 9:35:37,mic2,"Micropour 3""",1,"13.500,00","13.500,00"
48522020230102093646,2023-01-02 9:36:46,snelchart,Snellen chart,1,"6.500,00","6.500,00"
48522020230102093749,2023-01-02 9:37:49,onemedstickpad,Pispot bab onemed stickpad,1,"35.000,00","35.000,00"
48522020230102093845,2023-01-02 9:38:45,al961L,Alkohol 96% 1liter,1,"32.000,00","32.000,00"
48522020230102125520,2023-01-02 12:55:20,trolly1meter,trolly 1m3,1,"65.000,00","65.000,00"
48522020230102125553,2023-01-02 12:55:53,walkercuplik,Walker besi II,1,"120.000,00","120.000,00"
48522020230102130613,2023-01-02 13:06:13,O26m3part2,Isi tabung O26m3 part 2,1,"125.000,00","125.000,00"
48522020230102141105,2023-01-02 14:11:05,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230102150552,2023-01-02 15:05:52,infset,Set infuse,3,"7.500,00","22.500,00"
48522020230102154715,2023-01-02 15:47:15,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230102155856,2023-01-02 15:58:56,O21m3,Isi oksigen 1m3,1,"70.000,00","70.000,00"
48522020230103081233,2023-01-03 8:12:33,nec28,Nebulizer Omron NE-C28,1,"810.000,00","810.000,00"
