Tanggal & Waktu,ID Struk,Status Pembayaran,ID / Kode Outlet,Outlet,Tipe Penjualan,Kasir,No. Hp Pelanggan,Nama Pelanggan,SKU,Nama Produk,Kategori,Jumlah Produk,Harga Produk,Penjualan Kotor,Diskon Produk,Subtotal,Diskon Transaksi,Service Charge,Pajak,Pembulatan,Poin Ditukar,Total,Metode Pembayaran,Pembayaran,Alasan Pembatalan,Catatan Transaksi,Catatan Custom Amount
31-07-2021 20:42:15,VPPPCZ874RRDN,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Joglo Caramel,Fancy,2,"15,000","30,000",0,"30,000",0,0,0,0,0,"30,000",Tunai,"30,000",,,
31-07-2021 20:28:57,88882KYV8JYW6,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Wedang Susu Jahe,Tradisional Drink,1,"10,000","10,000",0,"10,000",0,0,0,0,0,"10,000",Tunai,"10,000",,,
31-07-2021 20:24:45,NLLLCRMYZLVP9,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Vietnam Drip Susu - Hot,Classic,1,"12,000","12,000",0,"36,000",0,0,0,0,0,"36,000",Tunai,"36,000",,,
31-07-2021 20:24:45,NLLLCRMYZLVP9,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Cappucino,Expresso Base,2,"12,000","24,000",0,,,,,,,,,,,,
31-07-2021 20:18:05,RQQQT79YJZNB6,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Black Charcoal - Ice,Milk Base,1,"15,000","15,000",0,"15,000",0,0,0,0,0,"15,000",Tunai,"15,000",,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,V60 - Hot,Classic,1,"12,000","12,000",0,"106,000",0,0,0,0,0,"106,000",Tunai,"106,000",,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Cappucino,Expresso Base,1,"12,000","12,000",0,,,,,,,,,,,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Choco Hazelnut,Milk Base,1,"15,000","15,000",0,,,,,,,,,,,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Joglo Tiramisu,Fancy,1,"15,000","15,000",0,,,,,,,,,,,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Vietnam Drip,Classic,1,"10,000","10,000",0,,,,,,,,,,,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Nasi Goreng Joglo,Nasi,1,"15,000","15,000",0,,,,,,,,,,,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Tempe Mendoan,Snack,2,"6,000","12,000",0,,,,,,,,,,,,
31-07-2021 19:55:25,NLLLCRMYZLN4N,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Mie Goreng Joglo,Mie,1,"15,000","15,000",0,,,,,,,,,,,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,V60 - Hot,Classic,-1,"-12,000","-12,000",0,"-104,000",0,0,0,0,0,"-104,000",Tunai,"-104,000",,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Ginger Tea,Tradisional Drink,-1,"-10,000","-10,000",0,,,,,,,,,,,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Choco Hazelnut,Milk Base,-1,"-15,000","-15,000",0,,,,,,,,,,,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Joglo Tiramisu,Fancy,-1,"-15,000","-15,000",0,,,,,,,,,,,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Vietnam Drip,Classic,-1,"-10,000","-10,000",0,,,,,,,,,,,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Nasi Goreng Joglo,Nasi,-1,"-15,000","-15,000",0,,,,,,,,,,,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Tempe Mendoan,Snack,-2,"-6,000","-12,000",0,,,,,,,,,,,,
31-07-2021 19:53:38,9YYYSR4ZVWGGK,Void,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Mie Goreng Joglo,Mie,-1,"-15,000","-15,000",0,,,,,,,,,,,,
31-07-2021 19:50:27,4QQQTPM89ZBNM,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Air Mineral,Additional,2,"3,000","6,000",0,"6,000",0,0,0,0,0,"6,000",Tunai,"6,000",,,
31-07-2021 19:50:05,VPPPCZ874DY9Z,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,V60 - Hot,Classic,1,"12,000","12,000",0,"104,000",0,0,0,0,0,"104,000",Tunai,"104,000",,,
31-07-2021 19:50:05,VPPPCZ874DY9Z,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Ginger Tea,Tradisional Drink,1,"10,000","10,000",0,,,,,,,,,,,,
31-07-2021 19:50:05,VPPPCZ874DY9Z,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Choco Hazelnut,Milk Base,1,"15,000","15,000",0,,,,,,,,,,,,
31-07-2021 19:50:05,VPPPCZ874DY9Z,Success,OT-263516,Cafe & Resto de.Joglo,,GHINA,,,,Joglo Tiramisu,Fancy,1,"15,000","15,000",0,,,,,,,,,,,,
