"title","vote_average","release_date","revenue","budget","original_language","overview","genres"
"The Kid",8.2,"1921-01-21",2500000,250000,"en","A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.","Comedy, Drama"
"Greed",7.4,"1924-12-04",274827,665603,"en","A lottery win of $5,000 forever changes the lives of a miner turned dentist and his wife.","Drama, Crime"
"Ben-Hur: A Tale of the Christ",7.404,"1925-12-25",9000000,3900000,"en","Erstwhile childhood friends, Judah Ben-Hur and Messala meet again as adults, this time with Roman officer Messala as conqueror and Judah as a wealthy, though conquered, Israelite. A slip of a brick during a Roman parade causes Judah to be sent off as a galley slave, his property confiscated and his mother and sister imprisoned. Years later, as a result of his determination to stay alive and his willingness to aid his Roman master, Judah returns to his homeland an exalted and wealthy Roman athlete. Unable to find his mother and sister, and believing them dead, he can think of nothing else than revenge against Messala.","Adventure, Drama, Romance"
"Metropolis",8.1,"1927-02-06",650422,1300000,"de","In a futuristic city sharply divided between the rich and the poor, the son of the city's mastermind meets a prophet who predicts the coming of a savior to mediate their differences.","Drama, Science Fiction"
"Wings",7.2,"1927-08-12",3600000,2000000,"en","Two young men, one rich, one middle class, both in love with the same woman, become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl who's the lovestruck lifelong next door neighbor of one of them pines away.","Drama, Action, War, Romance"
"The Jazz Singer",6.1,"1928-02-04",2600000,422000,"en","A young Jewish man is torn between tradition and individuality when his old-fashioned family objects to his career as a jazz singer. This is the first full length feature film to use synchronized sound, and is the original film musical.","Drama, Music"
"Our Dancing Daughters",6.65,"1928-09-01",1099000,178000,"en","A flapper sets her hat for a man with a hard-drinking wife.","Drama, Romance"
"West of Zanzibar",7.1,"1928-11-24",921000,259000,"en","A magician seeks vengeance upon the man who paralyzed him and the illegitimate daughter he sired with the magician's wife.","Drama, Mystery"
"Hell's Angels",6.494,"1930-11-15",8000000,3950000,"en","When World War I breaks out, brothers Roy and Monte Rutledge, each attending Oxford university, enlist with the Royal Flying Corps.","Drama, War, Action"
"Cimarron",5.5,"1931-01-26",1383000,1433000,"en","When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and other absences, his wife Sabra must learn to take care of herself and soon becomes prominent in her own right.","Drama, Western, History"
"City Lights",8.3,"1931-02-01",4250000,1500000,"en","In this sound-era silent film, a tramp falls in love with a beautiful blind flower seller.","Comedy, Romance, Drama"
"Frankenstein",7.481,"1931-11-21",12000000,291000,"en","Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome.","Drama, Horror, Science Fiction"
"The Lost Squadron",6.333,"1932-03-12",732000,621000,"en","When World War I comes to an end, three pilots find themselves on hard times. They wind up in Hollywood, where they work as stunt fliers for a sadistic director.","Drama, Action, War, History"
"The Most Dangerous Game",7,"1932-09-16",443000,219869,"en","When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.","Action, Adventure, Horror"
"King Kong",7.6,"1933-03-15",10000000,672000,"en","Adventurous filmmaker Carl Denham sets out to produce a motion picture unlike anything the world has seen before. Alongside his leading lady Ann Darrow and his first mate Jack Driscoll, they arrive on an island and discover a legendary creature said to be neither beast nor man. Denham captures the monster to be displayed on Broadway as King Kong, the eighth wonder of the world.","Adventure, Fantasy, Horror"
"Central Airport",6.438,"1933-04-15",747000,421000,"en","Aviator Jim Blaine and his brother Neil are rivals not only as daredevil flyers, but also for the love of parachutist Jill Collins.","Drama"
"Gold Diggers of 1933",7.2,"1933-05-27",3200000,433000,"en","Things get tough for Carol and her showgirl pals, Trixie and Polly, when the Great Depression kicks in and all the Broadway shows close down. Wealthy songwriter Brad saves the day by funding a new Depression-themed musical for the girls to star in, but when his stuffy high-society brother finds out and threatens to disown Brad, Carol and her gold-digging friends scheme to keep the show going, hooking a couple of millionaires along the way.","Comedy, Drama"
"I'm No Angel",6.372,"1933-10-06",2850000,225000,"en","The bold Tira works as dancing beauty and lion tamer at a fair. Out of an urgent need of money, she agrees to a risky new number: she'll put her head into the lion's mouth! With this attraction, the circus makes it to New York and Tira can pursue her dearest occupation— flirting with rich men and accepting expensive presents.","Comedy, Romance"
"Little Women",6.742,"1933-11-24",2100000,424000,"en","Little Women is a coming-of-age drama tracing the lives of four sisters: Meg, Jo, Beth and Amy. During the American Civil War, the girls father is away serving as a minister to the troops. The family, headed by their beloved Marmee, must struggle to make ends meet, with the help of their kind and wealthy neighbor, Mr. Laurence, and his high spirited grandson Laurie.","Drama, Family"
"Fashions of 1934",6.412,"1934-02-14",965000,317000,"en","When the Manhattan investment firm of Sherwood Nash goes broke, he joins forces with his partner Snap and fashion designer Lynn Mason to provide discount shops with cheap copies of Paris couture dresses.","Comedy, Drama, Music"
"It Happened One Night",7.838,"1934-02-22",4500000,325000,"en","A renegade reporter and a young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.","Comedy, Romance"
"The Thin Man",7.5,"1934-05-25",1423000,226408,"en","A husband and wife detective team takes on the search for a missing inventor and almost get killed for their efforts.","Comedy, Crime, Mystery"
"The Painted Veil",6.6,"1934-11-23",1120000,947000,"en","The wife of a doctor in China falls in love with a diplomat.","Drama, Romance"
"Broadway Bill",6.088,"1934-11-30",1400000,668900,"en","Tycoon J.L. Higgins controls his whole family, but one of his sons- in-law, Dan Brooks and his daughter Alice are fed up with that. Brooks quits his job as manager of J.L.'s paper box factory and devotes his life to his racing horse Broadway Bill, but his bank- roll is thin and the luck is against him, he is arrested because of $150 he owes somebody for horse food, but suddenly a planed fraud by somebody else seems to offer him a chance...","Comedy, Drama"
"Forsaking All Others",6.733,"1934-12-23",2199000,420069,"en","A socialite only realises that her friend is in love with her when she falls for the wrong man.","Comedy, Drama, Romance"
"Bordertown",5.978,"1935-01-23",1237000,369000,"en","An ambitious Mexican-American gets mixed up with the neurotic wife of his casino boss.","Crime, Drama"
"Star of Midnight",6.3,"1935-04-19",831000,280000,"en","When a dancer disappears from a theater,  Clay Dalzell is asked to investigate, leading him on a trail of murder and deception.","Comedy, Mystery, Romance"
"Bride of Frankenstein",7.5,"1935-04-20",2000000,393750,"en","Dr. Pretorius, a deranged scientist, forces Henry Frankenstein to help him create a companion for the monster.","Horror, Science Fiction"
